"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 17:37:51 GMT 2024","Mon Jul 15 17:38:17 GMT 2024","26286","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC1: Validar agregado de un empleado sin credenciales exitosamente",""
"passed","Mon Jul 15 17:39:39 GMT 2024","Mon Jul 15 17:39:59 GMT 2024","19611","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC2: Validar agregado de un empleado con credenciales exitosamente",""
"broken","Mon Jul 15 17:41:22 GMT 2024","Mon Jul 15 17:42:03 GMT 2024","40847","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC3: Validar que no se puede agregar un empleado con datos inválidos",""
