"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 19:11:01 GMT 2024","Wed Jul 10 19:11:08 GMT 2024","6603","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC8 | Validar mensaje con texto ingresado y OK presionado",""
"passed","Wed Jul 10 19:10:44 GMT 2024","Wed Jul 10 19:11:01 GMT 2024","16850","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC7 | Validar cierre de prompt con campo vacío y OK presionado",""
"passed","Wed Jul 10 19:09:51 GMT 2024","Wed Jul 10 19:10:07 GMT 2024","15958","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC1 | Validar alerta inmediata al hacer clic en el primer botón",""
"passed","Wed Jul 10 19:10:24 GMT 2024","Wed Jul 10 19:10:31 GMT 2024","7415","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC4 | Validar confirmación al seleccionar OK en el cuadro de confirmación",""
"passed","Wed Jul 10 19:10:07 GMT 2024","Wed Jul 10 19:10:18 GMT 2024","11040","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC2 | Validar alerta después de 5 segundos al hacer clic en el segundo botón",""
"passed","Wed Jul 10 19:11:08 GMT 2024","Wed Jul 10 19:11:24 GMT 2024","16586","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC9 | Validar cierre de prompt con Cancel presionado",""
"passed","Wed Jul 10 19:10:18 GMT 2024","Wed Jul 10 19:10:24 GMT 2024","6101","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC3 | Validar cuadro de confirmación al hacer clic en el tercer botón",""
"passed","Wed Jul 10 19:10:31 GMT 2024","Wed Jul 10 19:10:38 GMT 2024","6962","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC5 | Validar confirmación al seleccionar Cancel en el cuadro de confirmación",""
"passed","Wed Jul 10 19:10:38 GMT 2024","Wed Jul 10 19:10:44 GMT 2024","6368","chromium","specs/elements/GX3-4049_ToolQA-Alert-Frame-Window-Alerts.spec.ts","GX3-123 Test de Alertas y Diálogos","","","TC6 | Validar cuadro de mensaje emergente al hacer clic en el cuarto botón",""
