"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 23:17:20 GMT 2024","Fri Jul 26 23:17:23 GMT 2024","2225","chromium","specs/elements/GX3-4366-Elements_radio_Buttons.test.ts","GX3-4308 | Elements | Buttons","","","4367 | TC2: Validar poder seleccionar elemento radio button ""Impressive""",""
"passed","Fri Jul 26 23:17:23 GMT 2024","Fri Jul 26 23:17:24 GMT 2024","1622","chromium","specs/elements/GX3-4366-Elements_radio_Buttons.test.ts","GX3-4308 | Elements | Buttons","","","4367 | TC3: Validar que elemento radio button ""No"" esté deshabilitado.",""
"passed","Fri Jul 26 23:17:18 GMT 2024","Fri Jul 26 23:17:20 GMT 2024","2675","chromium","specs/elements/GX3-4366-Elements_radio_Buttons.test.ts","GX3-4308 | Elements | Buttons","","","4367 | TC1: Validar poder seleccionar elemento radio button ""Yes"".",""
