"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 14:05:15 GMT 2024","Thu Jul 18 14:05:17 GMT 2024","2088","chromium","specs/elements/GX3-4213_ToolsQA_Interactions_Resizable.spec.ts","GX3-4213 | ToolsQA | Interactions | Resizable","","","4214 TC2 VALIDAR que el resizable box con restricción se puede redimensionar dentro de los límites",""
"passed","Thu Jul 18 14:05:17 GMT 2024","Thu Jul 18 14:05:19 GMT 2024","1719","chromium","specs/elements/GX3-4213_ToolsQA_Interactions_Resizable.spec.ts","GX3-4213 | ToolsQA | Interactions | Resizable","","","4214 TC3 VALIDAR que el texto descriptivo del resizable box con restricción es correcto",""
"passed","Thu Jul 18 14:05:03 GMT 2024","Thu Jul 18 14:05:15 GMT 2024","11876","chromium","specs/elements/GX3-4213_ToolsQA_Interactions_Resizable.spec.ts","GX3-4213 | ToolsQA | Interactions | Resizable","","","4214 TC1 VALIDAR que el resizable box con restricción se muestra correctamente",""
