"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 19:37:27 GMT 2024","Mon Jul 15 19:37:54 GMT 2024","26810","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC1: Validar agregado de un empleado sin credenciales exitosamente",""
"passed","Mon Jul 15 19:41:46 GMT 2024","Mon Jul 15 19:42:00 GMT 2024","13960","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC3: Validar que no se puede agregar un empleado con datos inválidos",""
"passed","Mon Jul 15 19:39:25 GMT 2024","Mon Jul 15 19:39:45 GMT 2024","19555","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC2: Validar agregado de un empleado con credenciales exitosamente",""
