"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 15 17:23:01 GMT 2024","Mon Jul 15 17:23:42 GMT 2024","40883","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC2: Validar agregado de un empleado con credenciales exitosamente",""
"passed","Mon Jul 15 17:23:42 GMT 2024","Mon Jul 15 17:23:55 GMT 2024","12173","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC3: Validar que no se puede agregar un empleado con datos inválidos",""
"passed","Mon Jul 15 17:21:20 GMT 2024","Mon Jul 15 17:21:39 GMT 2024","18142","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC1: Validar agregado de un empleado sin credenciales exitosamente",""
