"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 15 18:25:01 GMT 2024","Mon Jul 15 18:25:42 GMT 2024","40837","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC2: Validar agregado de un empleado con credenciales exitosamente",""
"passed","Mon Jul 15 18:25:43 GMT 2024","Mon Jul 15 18:25:54 GMT 2024","11549","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC3: Validar que no se puede agregar un empleado con datos inválidos",""
"passed","Mon Jul 15 18:23:25 GMT 2024","Mon Jul 15 18:23:39 GMT 2024","13621","chromium","specs/elements/DT_GX3-4194_Orange_HRM_Pim.spec.ts","GX3-4194 [Automation] OrangeHRM | PIM | Agregar un nuevo empleado","","","GX3-4194 | TC1: Validar agregado de un empleado sin credenciales exitosamente",""
